"","d","tau1","tau2","tau3","tau4","tau5","SE_d","SE_tau1","SE_tau2","SE_tau3","SE_tau4","SE_tau5","tt_1","tt_2","tt_3","tt_4","tt_5"
"Applause1",0.0713983267806804,-1.30109285790982,0.40597337785503,1.07055400215174,-0.246832848877632,NA,0.0913299012219467,0.21839955101343,0.215659048542638,0.354053759868779,NA,NA,-1.38750000699304,0.10766907352253,0.641669372349909,0.945162890117328,NA
"Ball1Mean",-0.832438054937991,0.29568570561323,0.536752349324761,NA,NA,NA,0.0995762842260002,0.166600620321168,NA,NA,NA,NA,-0.953984895769179,0.121531820582802,NA,NA,NA
"Ball1Median",-1.47858016028357,0.773949665267508,0.704630495016066,NA,NA,NA,0.11476358855214,0.217785017074919,NA,NA,NA,NA,-1.2052151508669,-0.27338218870734,NA,NA,NA
"Ball1Mode",-1.19967150558826,1.10197528395688,0.0976962216313773,NA,NA,NA,0.106488818664867,0.235277140624376,NA,NA,NA,NA,-0.898025731813197,-0.301662899092137,NA,NA,NA
"Ball2",-0.508395074999008,-2.07088649070971,2.57928156570872,NA,NA,NA,0.123967754361183,0.132300968878751,NA,NA,NA,NA,-2.58871851925463,2.08032552014098,NA,NA,NA
"Ball3",-0.237373642466374,-1.56032468956654,1.79769833203291,NA,NA,NA,0.112775993317328,0.126739375952676,NA,NA,NA,NA,-1.83079569096374,1.593426740993,NA,NA,NA
"Boat1",0.016200580782232,-0.0978022899186557,0.0816017091364237,NA,NA,NA,0.0880072190515098,0.135784356330711,NA,NA,NA,NA,-0.51468213608,0.530882886168544,NA,NA,NA
"Crab2",0.276059504351062,-1.99478627093827,0.598078451298488,-0.113421997713879,1.2340703130026,NA,0.104393588371743,0.277030793495882,0.215321331546261,0.261041184824891,NA,NA,-1.79516581936863,0.183662162394573,0.661440047180827,1.76278727255066,NA
"Crab3",-0.0862509331104845,-1.2510383054198,1.33728923853029,NA,NA,NA,0.164883869527234,0.202058172262673,NA,NA,NA,NA,-1.40514583678381,1.31890493303843,NA,NA,NA
"Headache",0.994748167014312,-1.64528519230048,-0.92852424683489,-0.491347448541968,2.07040872066302,NA,0.0854595699209761,0.218140791636616,0.174027931899276,0.201184339045954,NA,NA,-1.00202609570963,-0.00236086679804676,0.845787016856256,3.13765167580821,NA
"Max4",-1.35660067118228,-0.735509989994794,2.09211066117707,NA,NA,NA,0.112776925825672,0.138985474054197,NA,NA,NA,NA,-2.14659762891616,0.790024666009842,NA,NA,NA
"Max5",-0.199194275199998,-0.095052086332723,0.294246361532721,NA,NA,NA,0.0792348926692898,0.127610301378436,NA,NA,NA,NA,-0.674794956439559,0.475597640789276,NA,NA,NA
"ProbRed",0.00255887532049684,-1.53561353717227,2.63899627432324,-1.10594161247147,NA,NA,0.0968112163327449,0.173330097995612,0.388834701502703,NA,NA,NA,-1.55730713143572,0.744735446577199,0.885327272479025,NA,NA
"Statue6",0.586323439080793,-0.511854750528651,0.248254384267896,-1.03898155574014,0.716258482920105,NA,0.0920734750088656,0.224329982407256,0.232892753259401,0.259489959961007,NA,NA,-0.417318903820946,0.199010634360826,0.445104378780428,1.50905714143467,NA
"Statue8",0.367164981909797,-0.667061101889883,0.680550609897488,-0.446797254975047,0.0661427650576457,NA,0.0900971122225796,0.217377000205493,0.240627823141413,0.291911480848171,NA,NA,-0.598736765739374,0.244544597562018,0.478788006570094,1.00990973159256,NA
"Swimming1",0.519702872949247,0.359127038880825,-0.878829911830072,NA,NA,NA,0.119344784698947,0.212523609198478,NA,NA,NA,NA,-0.00624344400537519,0.525936098332872,NA,NA,NA
"Swimming3",0.839098268679194,-1.08541421071035,0.246315942031151,NA,NA,NA,0.140264112297675,0.169670014050809,NA,NA,NA,NA,-0.44267405290079,1.28176075962018,NA,NA,NA
"TallestTree1",-1.15624053989009,-0.270734701323826,1.42697524121392,NA,NA,NA,0.148832023197087,0.204758980969716,NA,NA,NA,NA,-1.5737753959746,0.417503103772992,NA,NA,NA
"TallestTree2",-0.86140365603778,-0.937824401364155,1.79922805740194,NA,NA,NA,0.14623324324482,0.17641206674333,NA,NA,NA,NA,-1.85847693152921,0.997068190787109,NA,NA,NA
"Weatherperson",0.59412719119105,-2.50833800705266,0.540905380498516,1.3733054353631,NA,NA,0.12818296055178,0.21923502358628,0.193514558546264,NA,NA,NA,-1.95937204014713,0.898250730664272,2.25391046472754,NA,NA
"Bowling1",-0.170971131242952,0.654774331402403,0.375687371118655,0.39924178250393,-1.25873235378204,NA,0.0644558031496374,0.199028017366965,0.245528681077784,0.347670551926427,NA,NA,-0.439778644131097,-0.152831390527021,0.00765969921572841,0.147308694606089,NA
"Bowling2",0.0881407511198811,0.10535923028566,0.636640282507571,0.0388115346039656,-1.59056243407584,0.721610635558759,0.0592560815818194,0.183966703643836,0.192466495164038,0.199844925634702,0.207850365153568,NA,-0.498439507174473,-0.15169809829049,-0.0497493970588682,0.0370811796666927,0.96208039850263
"Caffeine2",1.22276218452109,-1.33995431546268,-0.0831995527833628,0.200391683724954,NA,NA,0.134084125499949,0.202861908755165,0.254306047228006,NA,NA,NA,-0.351033623883929,0.950534639859435,1.86279935577658,NA,NA
"Candle1",0.497299775300257,-0.279682080224968,-0.162072489750265,-0.938425859705013,1.90140212015483,-1.01852146577485,0.0726518322352317,0.19512236309368,0.197249082368173,0.214137278922552,0.51561930336036,NA,-0.453615348290212,0.0275412222860373,0.30673815246579,1.01159393018513,1.17717885318469
"Candle2",0.368663471654501,-0.203987671052441,0.732831295615106,0.337495431766315,-1.68870782217074,0.453705294187258,0.0630861597904479,0.187152407929347,0.209839500303041,0.229121660215263,0.242751880669866,NA,-0.324726478763806,0.142830663745468,0.255177562023126,0.325923675949945,1.05147817906685
"Carnival3",-0.378494999223611,-1.13250403946551,1.08820011882037,-2.00251867745885,2.4253175973276,NA,0.0982361776886908,0.205263827818747,0.197891023919298,0.197555746765497,NA,NA,-1.73795532280171,-0.757448027798,-0.611999473963801,2.06161397441557,NA
"GottaGo.Q1",-1.2333814068986,-0.164705666150377,1.39808707304897,NA,NA,NA,0.144181133878324,0.206627276871923,NA,NA,NA,NA,-1.56180532848107,0.328426907220732,NA,NA,NA
"GottaGo.Q2",-1.03015953488094,-0.832809075924144,1.86296861080509,NA,NA,NA,0.143896378255138,0.180805705744868,NA,NA,NA,NA,-1.92450931579867,0.894329578959303,NA,NA,NA
"GottaGo.Q3",-1.12323933925023,-0.133676553197166,1.25691589244739,NA,NA,NA,0.139236025404494,0.204180472645095,NA,NA,NA,NA,-1.44451444434795,0.321261231347062,NA,NA,NA
"Shirt1",-0.762935086930324,0.287318258745765,0.61399896799271,0.0877009780552879,-0.226083117863438,NA,0.0866970580726436,0.220211232837467,0.266597555764526,0.333535746857246,NA,NA,-1.09939182639546,-0.634108602028362,-0.421972342432567,-0.0935105820972355,NA
"Shirt2",-0.733478625428021,0.244629724810669,0.837789930359727,0.0295079811349371,-0.378449010877312,NA,0.0860154484937199,0.222697544895672,0.280472878234401,0.349745175884412,NA,NA,-1.05711594237355,-0.571602786695609,-0.39533774603221,-0.113132469557841,NA
"Shirt3",-0.746051193690652,0.323778221591663,0.612527690093519,0.303965120041029,-0.49421983803556,NA,0.086106931120231,0.22558044057511,0.280706066803312,0.368884738242808,NA,NA,-1.05220004834698,-0.597364088645627,-0.387480969848422,-0.134288224392119,NA
